Text,Label
bruh Can You Send Me The Slides Later? 💀,No
are  you   available   for a quick call?,No
 CAN YOU REVIEW THIS PR WHEN YOU GET A CHANCE?   👀,No
you’re making this convo dangerously fun,Yes
what time is the meeting tomorrow? lowkey wanna grab coffee w you after 😏,Yes
thanks for jumping on that quickly,No
   Are You Available For A Quick Call?  ,No
idk Stoppp That’S Hilarious 🤝,No
lowkey dinner? 1 on 1 😅,Yes
     you’re making this convo dangerously fun  🙏,Yes
let me know once it’s fixed,No
please confirm the address 💀,No
can you review this PR when you get a chance?,No
fr let me know once it’s fixed 🙂,No
that’s a solid point.. 😌,No
   are you available for a quick call?    🥲,No
i should sleep but i wanna keep talking to you,Yes
APPRECIATE YOU HELPING OUT,No
  if you were here you could help me move furniture    👀,No
highkey i like your perspective on this,No
you’re   different in a good way!,Yes
i’ll  loop you   into the email 🙏,No
bruh great job today 🤝,No
sooo what time is the meeting tomorrow? lowkey wanna grab coffee w you after 🙂,Yes
ngl don’t make me catch feelings,Yes
i’m  fine 😌 just thinking about you a bit,Yes
did you finish the report? also i kinda miss talking to you,Yes
movie night? just you + me?!,Yes
stop being so attractive,Yes
WHAT’S THE STATUS ON THE TICKET? 😭,No
what’s   your ETA??!,No
YOU’RE KINDA BECOMING MY FAVOURITE NOTIFICATION,Yes
nah LET ME KNOW ONCE IT’S FIXED 🙏,No
lowkey you  always  message  at the right time,Yes
don’t make me laugh in public,No
you handled that well 😭,No
We Should Hang Sometime With Everyone,No
 Send Me The File Later Pls… Btw You Looked Really Good Today   👍,Yes
 ok you’re   kinda cute but whatever ,Yes
 i feel really comfortable with you  ??,Yes
why you so cute tho,Yes
YOUR FEEDBACK WAS REALLY HELPFUL,No
bruh can you send me the slides later?,No
"idk  GOOD DISCUSSION EARLIER, THANKS    🙂",No
i’m trying to focus but you’re distracting me,Yes
what time is the meeting tomorrow?,No
Ngl I Miss You,Yes
You’Re Trouble 😅... 🤝,Yes
You Explain Things Clearly,No
CAN YOU REVIEW THIS PR WHEN YOU GET A CHANCE??!,No
"tbh     Thanks For Helping Earlier, I Owe You Dinner Sometime 😏  😅",Yes
lmao that made my day (thanks for helping),No
THAT MADE MY DAY (THANKS FOR HELPING) 🤝,No
lol you free tonight? just us 😏,Yes
Dinner? 1 on 1,YES
busy tonight but if you’re free i can make time!,Yes
  Send Me The File Later Pls… Btw You Looked Really Good Today  ,Yes
nah LET ME KNOW ONCE IT’S FIXED 👀,No
THIS IS RANDOM BUT I’M HAPPY WE’RE TALKING ✨,Yes
"   good discussion earlier, thanks    😌",No
STOP BEING SO ATTRACTIVE?? 💀,Yes
stoppp   that’s  hilarious ✅,No
fr YOU MAKE MY DAY FEEL LIGHTER 😂,Yes
you’re kinda becoming my favourite notification,Yes
are you available for a quick call?,No
     i wish you were here rn  ,Yes
    i’m glad we talk like this   🥲,Yes
 i’ll loop you into the email ,No
PLEASE SUBMIT THE FORM BY FRIDAY,No
idk    I’LL LOOP YOU INTO THE EMAIL  🤝,No
   don’t make me catch feelings  ,Yes
highkey    you explain things clearly ! 😭,No
you’re trouble 😅,Yes
i wish you were here rn,Yes
lowkey can you review this PR when you get a chance?!,No
Can You Send Me The Slides Later?,No
good   thinking ✨,No
i   keep   thinking   about you lol,Yes
nice work on the presentation??,No
"i like you. like, like you",Yes
"bet    I’M Not Flirting, I’M Just Being Nice  ✨",No
 you handled that well    😭,No
omg YOU’VE GOT GOOD ENERGY IN MEETINGS,No
i’m not flirting… but 😅,Yes
lmao  you’re kinda  becoming my favourite notification   ! ✅,Yes
LET ME KNOW ONCE IT’S FIXED 😌,No
nah you explain   things  clearly,No
can you send me the slides later?,No
stop being so attractive,Yes
"thanks   for  helping earlier, i owe you dinner sometime 😏",Yes
"lol   good discussion earlier, thanks   ",No
you’re easy to work with 🤝,No
"   I’M   Not Flirting, I’M Just Being Nice   ",No
ngl  GOOD THINKING   😭,No
 busy tonight but if you’re free i can make time  !,Yes
sooo   I Didn’T Expect To Enjoy This Convo So Much ,Yes
let me know once it’s fixed,No
come   over   if you want 👀.. 😏,Yes
did you finish the report? also i kinda miss talking to you?!,Yes
ngl    you’re trouble 😅  ,Yes
you’re different in a good way 🙂,Yes
you’re really reliable 😭,No
ngl i miss you 🤝,Yes
you explain things clearly,No
omg good thinking,No
lmao  can you send me the slides later?  !,No
can you send me the slides later? 😏,No
omg you’re a good teammate 😅,No
You’Re Making This Convo Dangerously Fun,Yes
You  Make My Day Feel Lighter ✨,Yes
don’t make me catch feelings,Yes
i’m fine 😌 just thinking about you a bit?!,Yes
I KEEP THINKING ABOUT YOU LOL ✅,Yes
 What’S The Status On The Ticket?  ,No
   good thinking ..,No
I’Ll Loop You Into The Email,No
  thanks for the update    😏,No
I’LL LOOP YOU INTO THE EMAIL,No
what’s your ETA?,No
"i’m not flirting, i’m just being nice",No
kinda you always message at the right time 😂,Yes
lmao      let me know once it’s fixed  ,No
i’ll loop you into the email 👍,No
   YOU’RE MAKING THIS CONVO DANGEROUSLY FUN   ,Yes
kinda     movie night? just you + me  ,Yes
Can You Send Me The Slides Later? 😅,No
  can you send me the slides later?  ?!,No
sooo you’re kinda becoming my favourite notification,Yes
I   WISH  YOU WERE HERE RN?!,Yes
you’re trouble 😅..,Yes
  you handled that well   ,No
Are You Available For A Quick Call? 🙃,No
I Feel Really Comfortable With You 🙂,Yes
omg let   me know once it’s fixed,No
i’ll loop you into the email,No
 CAN YOU SEND ME THE SLIDES LATER?   ✨,No
can you review this PR when you get a chance?!,No
 busy tonight but if you’re free i can make time  ,Yes
"i’m trying to be chill, work’s stressing me out",No
"lowkey i like you. like, like you 🙏",Yes
lowkey YOU’RE FUNNY LOL,No
   LET   ME KNOW ONCE IT’S FIXED  ,No
"i like   you. like, like you..",Yes
You’Ve Got Good Energy In Meetings,No
if you were here you could help me move furniture,No
  NICE WORK ON THE PRESENTATION ?!,No
please submit the form by friday 👍,No
what’s the status on the ticket? 😌,No
  if you were here you could help me move furniture ,No
I’M Trying To Be Chill But You’Re Making It Hard 😅,Yes
thanks for the update,No
i’m not flirting… but,Yes
Are You Available For A Quick Call? 😭,No
great job today...,No
I   Should  Sleep  But I Wanna Keep Talking To You??,Yes
nah     you’re making this convo dangerously fun  ,Yes
ngl i didn’t expect to enjoy this convo so much,Yes
tbh i didn’t expect to enjoy this convo so much,Yes
NICE WORK ON THE PRESENTATION,No
busy tonight but if you’re free i can make time,Yes
that’s a solid point 😭,No
bruh   i keep thinking about you lol ,Yes
please confirm the address?! 🥲,No
DON’T MAKE ME LAUGH IN PUBLIC??,No
  what’s your ETA?   ?!,No
   can you send me the slides later? ?? 🥲,No
did you finish the report? also i kinda miss talking to you,Yes
please submit the form by friday..,No
please  confirm the  address 😂,No
THANKS FOR THE UPDATE,No
thanks   for  jumping   on that quickly,No
   please submit the form by friday  ,No
nah YOU’RE KINDA BECOMING MY FAVOURITE NOTIFICATION 🙏,Yes
"lowkey i like you. like, like you",Yes
 Did You Pay The Bill Yet?  ,No
idk i like your perspective on this,No
thanks for the update,No
are  you   available   for a quick call? 🙏,No
Busy Tonight But If You’Re Free I Can Make Time,Yes
you explain things clearly?? 🙃,No
what’s the status on the ticket?,No
you’re a good teammate 🙂,No
kinda what’s the status on the ticket???,No
CAN YOU REVIEW THIS PR WHEN YOU GET A CHANCE?,No
tbh    it’s nice talking to you   ,Yes
appreciate  you helping out?!,No
"Thanks For Helping Earlier, I Owe You Dinner Sometime 😏",Yes
If You Were Here I’D Be Happier 👀,Yes
Thanks For The Update 🥲,No
i feel really comfortable with you,Yes
Did You Pay The Bill Yet? 🙂,No
 please confirm the address  ,No
nah you’re easy to work with,No
highkey please submit the form by friday! ✅,No
   Why You So Cute Tho ,Yes
I’LL   LOOP YOU INTO THE EMAIL,No
are you available for a quick call?... 👍,No
GOOD THINKING,No
   I’M FINE 😌 JUST THINKING ABOUT YOU A BIT ...,Yes
tbh  i should sleep but i wanna keep talking to you ,Yes
   you’re different in a good way   ,Yes
This Is Random But I’M Happy We’Re Talking,Yes
can you send me the slides later?,No
i like your perspective on this 😏,No
don’t make me laugh in public ✅,No
CAN YOU SEND ME THE SLIDES LATER?...,No
   don’t make me catch feelings  ,Yes
lmao i wish you were here rn,Yes
nah did you pay the bill yet?,No
   I KEEP THINKING ABOUT YOU LOL   😭,Yes
ok you’re kinda cute but whatever,Yes
you’re easy to work with!,No
  Let Me Know Once It’S Fixed ,No
lowkey    thanks  for jumping on that quickly  .. 😅,No
 that’s a solid point ,No
"kinda I LIKE  YOU.   LIKE, LIKE YOU...",Yes
sooo    did you finish the report? also i kinda miss talking to you   ,Yes
please confirm the address..,No
Let Me   Know  Once It’S Fixed,No
Please Confirm The Address,No
I WISH YOU WERE HERE RN,Yes
Good Thinking,No
"good discussion earlier, thanks",No
you’re easy to work with 🤝,No
   You’Re Different In A Good Way    😭,Yes
that’s a solid point 😌,No
 you’re kinda becoming my favourite notification  😂,Yes
movie night? just you + me 🙂,Yes
 did you pay the bill yet? ,No
 you always message at the right time   .. 🙂,Yes
you’re a good teammate 💀,No
Stoppp You’Re Making Me Smile!,Yes
 ngl i miss you  👍,Yes
  i   wish you were here rn  ,Yes
lol DON’T MAKE   ME CATCH FEELINGS,Yes
"thanks  for   helping   earlier, i owe you dinner sometime 😏",Yes
i wish you were here rn,Yes
ok serious question… when are we hanging out just us,Yes
I’Ll   Loop  You Into The Email,No
IF YOU WERE HERE YOU COULD HELP ME MOVE FURNITURE,No
dinner? 1 on 1,Yes
I’Ll Loop  You Into The Email,No
stoppp  that’s  hilarious,No
i’ll loop you into the email,No
please confirm the address,No
lol    i keep thinking about you lol   😏,Yes
I DIDN’T EXPECT TO ENJOY THIS CONVO SO MUCH,Yes
lmao    thanks for the update ,No
If You Were Here You Could Help Me Move Furniture 😭,No
IF YOU WERE HERE YOU COULD HELP ME MOVE FURNITURE 😭,No
you’re funny lol,No
"I’M Not Flirting, I’M Just Being Nice?!",No
nah did you pay the bill yet? 🙏,No
i feel really comfortable with you,Yes
  ok you’re kinda cute but whatever ,Yes
did you finish the report? also i kinda miss talking to you.. 🙂,Yes
omg you  explain things clearly.. 🥲,No
i didn’t expect to enjoy this convo so much,Yes
i’m trying to focus but you’re distracting me?! 👀,Yes
if you were here i’d be happier,Yes
   What’S The Status On The Ticket?   !,No
  YOU’RE KINDA BECOMING MY FAVOURITE NOTIFICATION  🙃,Yes
what’s the status on the ticket?,No
kinda you free tonight? just us 😏,Yes
ngl don’t make me laugh in public??,No
sooo you’re different in a good way 💀,Yes
   I SHOULD SLEEP BUT I WANNA KEEP TALKING TO YOU ,Yes
come over if you want 👀,Yes
WHAT’S YOUR ETA?,No
WHAT’S  THE STATUS ON THE TICKET??!,No
why you so cute tho,Yes
ok you’re kinda cute but whatever ✅,Yes
i’m fine 😌 just thinking about you a bit 😂,Yes
Can You Review This Pr When You Get A Chance? 💀,No
idk Please Confirm The Address..,No
IF YOU WERE HERE YOU COULD HELP ME MOVE FURNITURE,No
Send Me The File Later Pls… Btw You Looked Really Good Today 👍,Yes
You Explain Things Clearly 😏,No
ok serious question… when are we hanging out just us,Yes
what’s your ETA?,No
i didn’t expect to enjoy this convo so much 🙏,Yes
"good discussion earlier, thanks?!",No
 I Wish You Were Here Rn   ,Yes
what’s the status on the ticket?,No
i’m trying to be chill but you’re making it hard,Yes
thanks for jumping on that quickly,No
   Dinner? 1 On 1   🙏,Yes
You’Re Kinda Becoming My Favourite Notification,Yes
highkey    NGL I MISS YOU    😂,Yes
can you review this PR when you get a chance?,No
stop being so attractive,Yes
  can you send me the slides later?   😏,No
sooo YOU’RE REALLY RELIABLE 🙂,No
STOP BEING SO ATTRACTIVE??,Yes
   you’re a good teammate !,No
please submit the form by friday,No
IF YOU WERE HERE YOU COULD HELP ME MOVE FURNITURE,No
   if you were here you could help me move furniture    👍,No
stoppp you’re making me smile,Yes
"idk   i like you. like, like you   💀",Yes
lol you’re easy to work with!,No
nah    That’S A Solid Point   ,No
 Please Confirm The Address  ,No
i  like   your perspective on this?? ✅,No
movie night? just you + me.. 👍,Yes
you’re really reliable,No
"lol thanks for helping earlier, i owe you dinner sometime 😏",Yes
kinda i’m fine 😌 just thinking about you a bit,Yes
    that made my day (thanks for helping)  ,No
"fr   i’m not flirting, i’m just being nice ",No
that made my day (thanks for helping),No
I WISH YOU WERE HERE RN 🙂,Yes
lmao Let Me Know Once It’S Fixed,No
lmao YOU’RE MAKING THIS CONVO DANGEROUSLY FUN,Yes
good thinking 🥲,No
"thanks for helping earlier, i owe you dinner sometime 😏",Yes
lowkey You Handled That Well 🤝,No
you free tonight? just us 😏,Yes
tbh i’m fine 😌 just thinking about you a bit 😏,Yes
"good discussion earlier, thanks",No
highkey let me know once it’s fixed 🙃,No
  did you finish the report? also i kinda miss talking to you    🥲,Yes
I’M Trying To Be Chill But You’Re Making It Hard,Yes
we  should hang sometime… just saying,Yes
You’Re Easy To Work With??,No
that made my day (thanks for helping),No
i like your perspective on this,No
 dinner? 1 on 1 ,Yes
THIS IS RANDOM BUT I’M HAPPY WE’RE TALKING,Yes
sooo i keep thinking about you lol,Yes
  did you finish the report? also i kinda miss talking to you    ✅,Yes
   did you finish the report? also i kinda miss talking to you  ,Yes
let me know once it’s fixed ✨,No
You’Re A Good Teammate,No
lowkey   You’Re Really Reliable   ,No
send  me the file later pls… btw you looked really good today 😌,Yes
    Please Confirm The Address  ... 🥲,No
 can you review this PR when you get a chance?   ,No
let  me know once it’s fixed,No
please  submit the  form by friday...,No
appreciate you helping out 😌,No
did you pay the bill yet?,No
   why you so cute tho ?? 🙏,Yes
Did You Finish The Report? Also I Kinda Miss Talking To You 👍,Yes
lmao Thanks For The Update ✅,No
 stop being so attractive  🙂,Yes
thanks for jumping on that quickly... 😅,No
you   handled   that well,No
  did you pay the bill yet?  😌,No
what time is the meeting tomorrow? lowkey wanna grab coffee w you after??,Yes
   YOU FREE TONIGHT? JUST US 😏   ?!,Yes
 are you available for a quick call? ,No
highkey i’m trying to focus but you’re distracting me.. 😏,Yes
did you pay the bill yet?!,No
lmao  what’s your ETA?   💀,No
lol Thanks For Jumping On That Quickly,No
stop being so attractive,Yes
  i didn’t expect to enjoy this convo so much  ,Yes
        ok serious question… when are we hanging out just us   ,Yes
bruh    I Should Sleep But I Wanna Keep Talking To You  ,Yes
THANKS FOR JUMPING ON THAT QUICKLY,No
 i feel really comfortable with you   ,Yes
you’re making this convo dangerously fun,Yes
NICE WORK ON THE PRESENTATION ✅,No
don’t make me laugh in public..,No
   YOU’RE REALLY RELIABLE  ,No
"bruh I’M NOT FLIRTING, I’M JUST BEING NICE?!",No
"  i’m trying to be chill, work’s stressing me out  .. ✅",No
movie night? just you + me 😌,Yes
thanks for the update,No
highkey if you were here i’d be happier,Yes
lmao  i keep thinking about you lol  🥲,Yes
appreciate you helping out,No
did you pay the bill yet?,No
great job today,No
if you were here you could help me move furniture?! 🥲,No
   i like your perspective on this ,No
that made my day (thanks for helping),No
i keep thinking about you lol,Yes
did you pay the bill yet?,No
bruh dinner? 1 on 1 👍,Yes
let me know once it’s fixed 🥲,No
 DINNER? 1 ON 1  ,Yes
don’t   make   me laugh in public,No
let me know once it’s fixed 👍,No
fr  thanks for the update ,No
send   me the file later pls… btw you looked really good today,Yes
THIS  IS  RANDOM BUT I’M HAPPY WE’RE TALKING!,Yes
great job today,No
can   you   send me the slides later?,No
 I’M GLAD WE TALK LIKE THIS   ?!,Yes
sooo good thinking,No
bruh   you handled that well  ?! 😂,No
tbh  i’ll loop you into the email    💀,No
tbh that’s a solid point ✅,No
     please confirm the address   !,No
Your Feedback Was Really Helpful??,No
you’ve got good energy in meetings,No
I DIDN’T EXPECT TO ENJOY THIS CONVO SO MUCH,Yes
omg You’Re Really Reliable,No
lol STOPPP THAT’S HILARIOUS ✅,No
"     i like you. like, like you ...",Yes
WHY YOU SO CUTE THO 👍,Yes
great   job today...,No
YOU’RE REALLY RELIABLE,No
thanks for the update,No
sooo Please   Confirm   The Address..,No
why you so cute tho,Yes
fr    What’S Your Eta?    💀,No
 did you finish the report? also i kinda miss talking to you  ✅,Yes
please confirm the address 🙃,No
can you review this PR when you get a chance?,No
bruh Appreciate   You  Helping Out!,No
i’m not flirting… but 😏,Yes
"THANKS  FOR HELPING EARLIER, I OWE YOU DINNER SOMETIME 😏 😏",Yes
lowkey   come over if you want 👀 ...,Yes
     you always message at the right time ,Yes
you’re  kinda   becoming my favourite notification,Yes
can  you   send   me the slides later?,No
can you send me the slides later?,No
lol    what time is the meeting tomorrow? lowkey wanna grab coffee w you after  😭,Yes
lmao i like your perspective on this,No
  CAN   YOU SEND ME THE SLIDES LATER?  ,No
i  keep thinking about you lol?!,Yes
you’re making this convo dangerously fun,Yes
please   submit   the form by friday 😂,No
   i’m glad we talk like this   ✨,Yes
"   i like you. like, like you ",Yes
what time is the meeting tomorrow?,No
WE SHOULD HANG SOMETIME WITH EVERYONE 👍,No
lowkey it’s nice talking to you 🙏,Yes
I Like Your Perspective On This,No
bruh i should sleep but i wanna keep talking to you,Yes
lowkey thanks for jumping on that quickly,No
you make my day feel lighter,Yes
lol  great job today ?? 👀,No
kinda I KEEP THINKING ABOUT YOU LOL,Yes
if you were here i’d be happier 🥲,Yes
highkey you free tonight? just us 😏,Yes
did you pay the bill yet???,No
  that made my day (thanks for helping)   ,No
bet    you free tonight? just us 😏  ,Yes
"ngl I’M Trying To Be Chill, Work’S Stressing Me Out ✅",No
YOU HANDLED THAT WELL,No
    that’s a solid point ! ✅,No
bet dinner? 1 on 1,Yes
can you review this PR when you get a chance?! 🙂,No
  let  me know once it’s fixed ,No
thanks for jumping on that quickly,No
if you were here you could help me move furniture 🙂,No
ngl i miss you 😭,Yes
if you were here you could help me move furniture,No
can you review this PR when you get a chance?..,No
STOP BEING SO ATTRACTIVE,Yes
why   you so   cute tho 😂,Yes
lol don’t make me laugh in public 🙏,No
I’Ll Loop You Into The Email,No
omg You Explain Things Clearly,No
why you so cute tho 🤝,Yes
  thanks for the update   ?!,No
bet good thinking,No
lowkey don’t make me laugh in public... 😭,No
I’Ll Loop You Into The Email,No
 if you were here you could help me move furniture  ,No
you’re funny lol,No
bruh i’m   glad we   talk like this 👀,Yes
you’re trouble 😅! 🙃,Yes
What’S Your Eta???,No
bet appreciate you helping out,No
I’Ll Loop You Into The Email 👀,No
i should sleep but i wanna keep talking to you,Yes
come over if you want 👀,Yes
you’re really reliable...,No
PLEASE CONFIRM THE ADDRESS! 😌,No
i wish you were here rn 🙃,Yes
sooo GOOD THINKING 👀,No
YOU FREE TONIGHT? JUST US 😏?! ✨,Yes
please confirm the address,No
you’re   really  reliable,No
  you’re easy to work with  ..,No
  this is random but i’m happy we’re talking   ,Yes
I WISH YOU WERE HERE RN ✅,Yes
highkey good  thinking,No
"  I’M Not Flirting, I’M Just Being Nice ",No
ngl      i  feel really comfortable with you  👍,Yes
thanks for the update,No
Are You Available For A Quick Call?..,No
you explain things clearly...,No
  You’Re Different In A Good Way  ✅,Yes
bet your feedback was really helpful,No
what time is the meeting tomorrow?,No
idk Stoppp You’Re Making Me Smile 👀,Yes
we  should hang sometime with everyone 💀,No
tbh it’s nice talking to you,Yes
please submit the form by friday 🤝,No
ngl  i   miss you,Yes
why you so cute tho,Yes
ngl i miss you,Yes
did you pay the bill yet?..,No
What’S Your Eta?...,No
I Didn’T Expect To Enjoy This Convo So Much,Yes
You’Re   Different  In  A Good Way 🥲,Yes
what’s your ETA? 🙃,No
bet we should hang sometime with everyone,No
I’M Trying To Focus But You’Re Distracting Me,Yes
  i like our talks   ✨,Yes
 i didn’t expect to enjoy this convo so much  ?! 💀,Yes
nah    ok  you’re kinda cute but whatever ,Yes
if you were here you could help me move furniture 🙏,No
  i wish you were here rn  😂,Yes
kinda    did you finish the report? also i kinda miss talking to you  ✅,Yes
let me know once it’s fixed... 🙃,No
fr you’re kinda becoming my favourite notification??,Yes
 i’ll loop you into the email    😏,No
   Did You Pay The Bill Yet?  ,No
highkey dinner? 1 on 1,Yes
You  Explain Things Clearly,No
you’re kinda becoming my favourite notification 😂,Yes
   can you send me the slides later?  ✨,No
      i’m trying to focus but you’re distracting me  ,No
what’s your ETA? 😭,No
"bet thanks for helping earlier, i owe you dinner sometime 😏",Yes
i like your perspective on this 🙃,No
come over if you want 👀,Yes
Dinner? 1 On 1 🥲,Yes
kinda    please confirm the address  😅,No
i keep thinking about you lol 🥲,Yes
nice   work   on the presentation,No
"i’m not flirting, i’m just being nice",No
 you’re funny lol  ?? 🤝,No
YOU’RE MAKING THIS CONVO DANGEROUSLY FUN,Yes
nah Can  You   Send Me The Slides Later? 😂,No
thanks for the update?? 😂,No
lol that made my day (thanks for helping),No
you free tonight? just us 😏,Yes
kinda  please submit the form by friday   ,No
i’m glad   we talk like this,Yes
"lol i like you. like, like you 😭",Yes
bruh    you explain things clearly   ,No
We Should Hang Sometime… Just Saying ✨,Yes
you’re easy to work with,No
stop being so attractive,Yes
lowkey i’m fine 😌 just thinking about you a bit,Yes
"i’m  trying to be chill, work’s stressing me out",No
let me know once it’s fixed 😂,No
Ngl I Miss You,Yes
come over if you want 👀 💀,Yes
I Wish You Were Here Rn 😭,Yes
omg it’s nice talking to you 🙂,Yes
"idk thanks for helping earlier, i owe you dinner sometime 😏 😂",Yes
I Like Your Perspective On This 🥲,No
ngl appreciate you helping out,No
what’s your ETA? 🥲,No
please submit the form by friday,No
are you available for a quick call?,No
"good discussion earlier, thanks",No
please  submit  the form by friday,No
you make my day feel lighter,Yes
you free tonight? just us 😏?? 😌,Yes
i keep thinking about you lol?! ✨,Yes
ngl    I’M TRYING TO FOCUS BUT YOU’RE DISTRACTING ME ,Yes
 i feel really comfortable with you   ,Yes
come over if you want 👀 😏,Yes
ngl  Nice Work On The Presentation  😭,No
ok  serious question…   when are we hanging out just us 💀,Yes
 did you pay the bill yet?   ! 😭,No
lmao THAT’S   A SOLID POINT 🤝,No
YOU’RE MAKING THIS CONVO DANGEROUSLY FUN,Yes
THAT’S A SOLID POINT,No
   I’M Trying To Focus But You’Re Distracting Me ,Yes
let me know once it’s fixed,No
   THAT MADE MY DAY (THANKS FOR HELPING)   ! 👍,No
Send Me The File Later Pls… Btw You Looked Really Good Today,Yes
   Thanks For The Update  😭,No
highkey i should sleep but i wanna keep talking to you 👍,Yes
sooo stop  being  so attractive 🙃,Yes
what time is the meeting tomorrow?,No
can   you review this PR when you get a chance? 🙏,No
busy tonight  but if you’re free i can make time 💀,Yes
    this is random but i’m happy we’re talking .. 😅,Yes
Great Job Today 😅,No
don’t make me catch feelings,Yes
"good discussion earlier, thanks",No
 thanks for the update   🙃,No
I  Like   Our Talks,Yes
ngl i miss you 🤝,Yes
   ngl i miss you  ,Yes
come over   if  you want 👀,Yes
you’re kinda becoming my favourite notification,Yes
"good discussion earlier, thanks",No
What Time Is The Meeting Tomorrow? 😅,No
what time is the meeting tomorrow? lowkey wanna grab coffee w you after,Yes
"i’m trying to be chill, work’s stressing me out",No
lmao you’re  funny  lol,No
you’re easy to work with,No
  nice work on the presentation  ,No
did you finish the report? also i kinda miss talking to you,Yes
nah you’re trouble 😅 😅,Yes
 if you were here you could help me move furniture   ,No
stoppp you’re making me smile,Yes
  Did You Finish The Report? Also I Kinda Miss Talking To You ?!,Yes
bet     are you available for a quick call?  ,No
good thinking?! 🤝,No
" good discussion earlier, thanks   !",No
lol thanks for the update ✅,No
"idk I’M Trying To Be Chill, Work’S Stressing Me Out",No
Busy Tonight But If You’Re Free I Can Make Time..,Yes
 Appreciate You Helping Out ,No
please submit the form by friday 🥲,No
tbh I   FEEL REALLY COMFORTABLE WITH YOU,Yes
are you available for a quick call?,No
lmao you free tonight? just us 😏,Yes
  what’s your ETA?    🥲,No
did you finish the report? also i kinda miss talking to you 😭,Yes
you’re different in a good way 🙃,Yes
ok you’re kinda cute but whatever,Yes
nah  please submit the form by friday   😏,No
if  you were  here i’d be happier,Yes
i’m trying to focus but you’re distracting me,Yes
did   you finish the report? also i kinda miss talking to you,Yes
kinda Did You Pay The Bill Yet?,No
kinda great job today,No
 what’s the status on the ticket?   😌,No
fr What Time Is The Meeting Tomorrow? Lowkey Wanna Grab Coffee W You After! 🙃,Yes
idk  i wish you were here rn  ...,Yes
bet   Good Thinking   😂,No
 let me know once it’s fixed ,No
did you pay the bill yet?,No
come over if you want 👀,Yes
"   thanks for helping earlier, i owe you dinner sometime 😏   ",Yes
ngl  i’m trying to be chill but you’re making it hard  ,Yes
fr stop being so attractive 👀,Yes
IT’S NICE TALKING TO YOU,Yes
thanks for the update,No
lowkey    i should sleep but i wanna keep talking to you  ,Yes
you’re funny lol ✨,No
busy tonight but if you’re free i can make time,Yes
sooo       you make my day feel lighter  ,Yes
i didn’t expect to enjoy this convo so much 👍,Yes
can you send me the slides later? 👍,No
what time is the meeting tomorrow?,No
i’m trying to focus but you’re distracting me 😂,Yes
kinda did you pay the bill yet?,No
you’re making this convo dangerously fun 💀,Yes
please submit the form by friday 👀,No
you free tonight? just us 😏 💀,Yes
"I’M TRYING TO BE CHILL, WORK’S STRESSING ME OUT",No
 I’M Trying To Be Chill But You’Re Making It Hard  ,Yes
ok   serious question…   when are we hanging out just us,Yes
Your Feedback Was Really Helpful 🙏,No
nah i’m trying to focus but you’re distracting me..,Yes
i like your perspective on this 😏,No
This   Is Random But I’M Happy We’Re Talking..,Yes
YOU’RE FUNNY LOL,No
  WE SHOULD HANG SOMETIME… JUST SAYING ??,Yes
lowkey Are You Available For A Quick Call?,No
you’re easy to work with,No
