Text,Label,label
idk Stoppp That’S Hilarious 🤝,No,0.0
lowkey dinner? 1 on 1 😅,Yes,1.0
you’re making this convo dangerously fun 🙏,Yes,1.0
let me know once it’s fixed,No,0.0
please confirm the address 💀,No,0.0
can you review this PR when you get a chance?,No,0.0
fr let me know once it’s fixed 🙂,No,0.0
that’s a solid point.. 😌,No,0.0
are you available for a quick call? 🥲,No,0.0
APPRECIATE YOU HELPING OUT,No,0.0
if you were here you could help me move furniture 👀,No,0.0
highkey i like your perspective on this,No,0.0
you’re different in a good way!,Yes,1.0
i’ll loop you into the email 🙏,No,0.0
bruh great job today 🤝,No,0.0
sooo what time is the meeting tomorrow? lowkey wanna grab coffee w you after 🙂,Yes,1.0
ngl don’t make me catch feelings,Yes,1.0
i’m fine 😌 just thinking about you a bit,Yes,1.0
did you finish the report? also i kinda miss talking to you,Yes,1.0
movie night? just you + me?!,Yes,1.0
stop being so attractive,Yes,1.0
WHAT’S THE STATUS ON THE TICKET? 😭,No,0.0
what’s your ETA??!,No,0.0
YOU’RE KINDA BECOMING MY FAVOURITE NOTIFICATION,Yes,1.0
nah LET ME KNOW ONCE IT’S FIXED 🙏,No,0.0
lowkey you always message at the right time,Yes,1.0
don’t make me laugh in public,No,0.0
you handled that well 😭,No,0.0
We Should Hang Sometime With Everyone,No,0.0
Send Me The File Later Pls… Btw You Looked Really Good Today 👍,Yes,1.0
ok you’re kinda cute but whatever,Yes,1.0
i feel really comfortable with you ??,Yes,1.0
why you so cute tho,Yes,1.0
YOUR FEEDBACK WAS REALLY HELPFUL,No,0.0
bruh can you send me the slides later?,No,0.0
"idk GOOD DISCUSSION EARLIER, THANKS 🙂",No,0.0
i’m trying to focus but you’re distracting me,Yes,1.0
what time is the meeting tomorrow?,No,0.0
Ngl I Miss You,Yes,1.0
You’Re Trouble 😅... 🤝,Yes,1.0
You Explain Things Clearly,No,0.0
CAN YOU REVIEW THIS PR WHEN YOU GET A CHANCE??!,No,0.0
"tbh Thanks For Helping Earlier, I Owe You Dinner Sometime 😏 😅",Yes,1.0
lmao that made my day (thanks for helping),No,0.0
THAT MADE MY DAY (THANKS FOR HELPING) 🤝,No,0.0
lol you free tonight? just us 😏,Yes,1.0
busy tonight but if you’re free i can make time!,Yes,1.0
Send Me The File Later Pls… Btw You Looked Really Good Today,Yes,1.0
nah LET ME KNOW ONCE IT’S FIXED 👀,No,0.0
THIS IS RANDOM BUT I’M HAPPY WE’RE TALKING ✨,Yes,1.0
"good discussion earlier, thanks 😌",No,0.0
STOP BEING SO ATTRACTIVE?? 💀,Yes,1.0
stoppp that’s hilarious ✅,No,0.0
fr YOU MAKE MY DAY FEEL LIGHTER 😂,Yes,1.0
you’re kinda becoming my favourite notification,Yes,1.0
are you available for a quick call?,No,0.0
i wish you were here rn,Yes,1.0
i’m glad we talk like this 🥲,Yes,1.0
i’ll loop you into the email,No,0.0
PLEASE SUBMIT THE FORM BY FRIDAY,No,0.0
idk I’LL LOOP YOU INTO THE EMAIL 🤝,No,0.0
don’t make me catch feelings,Yes,1.0
highkey you explain things clearly ! 😭,No,0.0
you’re trouble 😅,Yes,1.0
i wish you were here rn,Yes,1.0
lowkey can you review this PR when you get a chance?!,No,0.0
Can You Send Me The Slides Later?,No,0.0
good thinking ✨,No,0.0
i keep thinking about you lol,Yes,1.0
nice work on the presentation??,No,0.0
"i like you. like, like you",Yes,1.0
"bet I’M Not Flirting, I’M Just Being Nice ✨",No,0.0
you handled that well 😭,No,0.0
omg YOU’VE GOT GOOD ENERGY IN MEETINGS,No,0.0
i’m not flirting… but 😅,Yes,1.0
lmao you’re kinda becoming my favourite notification ! ✅,Yes,1.0
LET ME KNOW ONCE IT’S FIXED 😌,No,0.0
nah you explain things clearly,No,0.0
"thanks for helping earlier, i owe you dinner sometime 😏",Yes,1.0
"lol good discussion earlier, thanks",No,0.0
you’re easy to work with 🤝,No,0.0
"I’M Not Flirting, I’M Just Being Nice",No,0.0
ngl GOOD THINKING 😭,No,0.0
busy tonight but if you’re free i can make time !,Yes,1.0
sooo I Didn’T Expect To Enjoy This Convo So Much,Yes,1.0
come over if you want 👀.. 😏,Yes,1.0
did you finish the report? also i kinda miss talking to you?!,Yes,1.0
ngl you’re trouble 😅,Yes,1.0
you’re different in a good way 🙂,Yes,1.0
you’re really reliable 😭,No,0.0
ngl i miss you 🤝,Yes,1.0
you explain things clearly,No,0.0
omg good thinking,No,0.0
lmao can you send me the slides later? !,No,0.0
can you send me the slides later? 😏,No,0.0
omg you’re a good teammate 😅,No,0.0
You’Re Making This Convo Dangerously Fun,Yes,1.0
You Make My Day Feel Lighter ✨,Yes,1.0
don’t make me catch feelings,Yes,1.0
i’m fine 😌 just thinking about you a bit?!,Yes,1.0
I KEEP THINKING ABOUT YOU LOL ✅,Yes,1.0
What’S The Status On The Ticket?,No,0.0
good thinking ..,No,0.0
I’Ll Loop You Into The Email,No,0.0
thanks for the update 😏,No,0.0
I’LL LOOP YOU INTO THE EMAIL,No,0.0
what’s your ETA?,No,0.0
"i’m not flirting, i’m just being nice",No,0.0
kinda you always message at the right time 😂,Yes,1.0
lmao let me know once it’s fixed,No,0.0
i’ll loop you into the email 👍,No,0.0
YOU’RE MAKING THIS CONVO DANGEROUSLY FUN,Yes,1.0
kinda movie night? just you + me,Yes,1.0
Can You Send Me The Slides Later? 😅,No,0.0
can you send me the slides later? ?!,No,0.0
sooo you’re kinda becoming my favourite notification,Yes,1.0
I WISH YOU WERE HERE RN?!,Yes,1.0
you’re trouble 😅..,Yes,1.0
you handled that well,No,0.0
Are You Available For A Quick Call? 🙃,No,0.0
I Feel Really Comfortable With You 🙂,Yes,1.0
omg let me know once it’s fixed,No,0.0
i’ll loop you into the email,No,0.0
CAN YOU SEND ME THE SLIDES LATER? ✨,No,0.0
can you review this PR when you get a chance?!,No,0.0
busy tonight but if you’re free i can make time,Yes,1.0
"i’m trying to be chill, work’s stressing me out",No,0.0
"lowkey i like you. like, like you 🙏",Yes,1.0
lowkey YOU’RE FUNNY LOL,No,0.0
LET ME KNOW ONCE IT’S FIXED,No,0.0
"i like you. like, like you..",Yes,1.0
You’Ve Got Good Energy In Meetings,No,0.0
NICE WORK ON THE PRESENTATION ?!,No,0.0
please submit the form by friday 👍,No,0.0
what’s the status on the ticket? 😌,No,0.0
if you were here you could help me move furniture,No,0.0
I’M Trying To Be Chill But You’Re Making It Hard 😅,Yes,1.0
thanks for the update,No,0.0
i’m not flirting… but,Yes,1.0
Are You Available For A Quick Call? 😭,No,0.0
great job today...,No,0.0
I Should Sleep But I Wanna Keep Talking To You??,Yes,1.0
nah you’re making this convo dangerously fun,Yes,1.0
ngl i didn’t expect to enjoy this convo so much,Yes,1.0
tbh i didn’t expect to enjoy this convo so much,Yes,1.0
NICE WORK ON THE PRESENTATION,No,0.0
busy tonight but if you’re free i can make time,Yes,1.0
that’s a solid point 😭,No,0.0
bruh i keep thinking about you lol,Yes,1.0
please confirm the address?! 🥲,No,0.0
DON’T MAKE ME LAUGH IN PUBLIC??,No,0.0
what’s your ETA? ?!,No,0.0
can you send me the slides later? ?? 🥲,No,0.0
please submit the form by friday..,No,0.0
please confirm the address 😂,No,0.0
THANKS FOR THE UPDATE,No,0.0
thanks for jumping on that quickly,No,0.0
please submit the form by friday,No,0.0
nah YOU’RE KINDA BECOMING MY FAVOURITE NOTIFICATION 🙏,Yes,1.0
"lowkey i like you. like, like you",Yes,1.0
Did You Pay The Bill Yet?,No,0.0
idk i like your perspective on this,No,0.0
are you available for a quick call? 🙏,No,0.0
Busy Tonight But If You’Re Free I Can Make Time,Yes,1.0
you explain things clearly?? 🙃,No,0.0
what’s the status on the ticket?,No,0.0
you’re a good teammate 🙂,No,0.0
kinda what’s the status on the ticket???,No,0.0
CAN YOU REVIEW THIS PR WHEN YOU GET A CHANCE?,No,0.0
tbh it’s nice talking to you,Yes,1.0
appreciate you helping out?!,No,0.0
"Thanks For Helping Earlier, I Owe You Dinner Sometime 😏",Yes,1.0
If You Were Here I’D Be Happier 👀,Yes,1.0
Thanks For The Update 🥲,No,0.0
i feel really comfortable with you,Yes,1.0
Did You Pay The Bill Yet? 🙂,No,0.0
please confirm the address,No,0.0
nah you’re easy to work with,No,0.0
highkey please submit the form by friday! ✅,No,0.0
Why You So Cute Tho,Yes,1.0
I’LL LOOP YOU INTO THE EMAIL,No,0.0
are you available for a quick call?... 👍,No,0.0
GOOD THINKING,No,0.0
I’M FINE 😌 JUST THINKING ABOUT YOU A BIT ...,Yes,1.0
tbh i should sleep but i wanna keep talking to you,Yes,1.0
you’re different in a good way,Yes,1.0
This Is Random But I’M Happy We’Re Talking,Yes,1.0
i like your perspective on this 😏,No,0.0
don’t make me laugh in public ✅,No,0.0
CAN YOU SEND ME THE SLIDES LATER?...,No,0.0
lmao i wish you were here rn,Yes,1.0
nah did you pay the bill yet?,No,0.0
I KEEP THINKING ABOUT YOU LOL 😭,Yes,1.0
ok you’re kinda cute but whatever,Yes,1.0
you’re easy to work with!,No,0.0
Let Me Know Once It’S Fixed,No,0.0
lowkey thanks for jumping on that quickly .. 😅,No,0.0
that’s a solid point,No,0.0
"kinda I LIKE YOU. LIKE, LIKE YOU...",Yes,1.0
sooo did you finish the report? also i kinda miss talking to you,Yes,1.0
please confirm the address..,No,0.0
Let Me Know Once It’S Fixed,No,0.0
Please Confirm The Address,No,0.0
I WISH YOU WERE HERE RN,Yes,1.0
Good Thinking,No,0.0
"good discussion earlier, thanks",No,0.0
You’Re Different In A Good Way 😭,Yes,1.0
that’s a solid point 😌,No,0.0
you’re kinda becoming my favourite notification 😂,Yes,1.0
movie night? just you + me 🙂,Yes,1.0
did you pay the bill yet?,No,0.0
you always message at the right time .. 🙂,Yes,1.0
you’re a good teammate 💀,No,0.0
Stoppp You’Re Making Me Smile!,Yes,1.0
ngl i miss you 👍,Yes,1.0
i wish you were here rn,Yes,1.0
lol DON’T MAKE ME CATCH FEELINGS,Yes,1.0
"thanks for helping earlier, i owe you dinner sometime 😏",Yes,1.0
ok serious question… when are we hanging out just us,Yes,1.0
I’Ll Loop You Into The Email,No,0.0
IF YOU WERE HERE YOU COULD HELP ME MOVE FURNITURE,No,0.0
dinner? 1 on 1,Yes,1.0
I’Ll Loop You Into The Email,No,0.0
stoppp that’s hilarious,No,0.0
please confirm the address,No,0.0
lol i keep thinking about you lol 😏,Yes,1.0
I DIDN’T EXPECT TO ENJOY THIS CONVO SO MUCH,Yes,1.0
lmao thanks for the update,No,0.0
If You Were Here You Could Help Me Move Furniture 😭,No,0.0
IF YOU WERE HERE YOU COULD HELP ME MOVE FURNITURE 😭,No,0.0
you’re funny lol,No,0.0
"I’M Not Flirting, I’M Just Being Nice?!",No,0.0
nah did you pay the bill yet? 🙏,No,0.0
ok you’re kinda cute but whatever,Yes,1.0
did you finish the report? also i kinda miss talking to you.. 🙂,Yes,1.0
omg you explain things clearly.. 🥲,No,0.0
i didn’t expect to enjoy this convo so much,Yes,1.0
i’m trying to focus but you’re distracting me?! 👀,Yes,1.0
What’S The Status On The Ticket? !,No,0.0
YOU’RE KINDA BECOMING MY FAVOURITE NOTIFICATION 🙃,Yes,1.0
kinda you free tonight? just us 😏,Yes,1.0
ngl don’t make me laugh in public??,No,0.0
sooo you’re different in a good way 💀,Yes,1.0
I SHOULD SLEEP BUT I WANNA KEEP TALKING TO YOU,Yes,1.0
come over if you want 👀,Yes,1.0
WHAT’S YOUR ETA?,No,0.0
WHAT’S THE STATUS ON THE TICKET??!,No,0.0
ok you’re kinda cute but whatever ✅,Yes,1.0
i’m fine 😌 just thinking about you a bit 😂,Yes,1.0
Can You Review This Pr When You Get A Chance? 💀,No,0.0
idk Please Confirm The Address..,No,0.0
Send Me The File Later Pls… Btw You Looked Really Good Today 👍,Yes,1.0
You Explain Things Clearly 😏,No,0.0
i didn’t expect to enjoy this convo so much 🙏,Yes,1.0
"good discussion earlier, thanks?!",No,0.0
I Wish You Were Here Rn,Yes,1.0
i’m trying to be chill but you’re making it hard,Yes,1.0
Dinner? 1 On 1 🙏,Yes,1.0
highkey NGL I MISS YOU 😂,Yes,1.0
can you send me the slides later? 😏,No,0.0
sooo YOU’RE REALLY RELIABLE 🙂,No,0.0
STOP BEING SO ATTRACTIVE??,Yes,1.0
you’re a good teammate !,No,0.0
please submit the form by friday,No,0.0
if you were here you could help me move furniture 👍,No,0.0
stoppp you’re making me smile,Yes,1.0
"idk i like you. like, like you 💀",Yes,1.0
lol you’re easy to work with!,No,0.0
nah That’S A Solid Point,No,0.0
Please Confirm The Address,No,0.0
i like your perspective on this?? ✅,No,0.0
movie night? just you + me.. 👍,Yes,1.0
you’re really reliable,No,0.0
"lol thanks for helping earlier, i owe you dinner sometime 😏",Yes,1.0
kinda i’m fine 😌 just thinking about you a bit,Yes,1.0
that made my day (thanks for helping),No,0.0
"fr i’m not flirting, i’m just being nice",No,0.0
I WISH YOU WERE HERE RN 🙂,Yes,1.0
lmao Let Me Know Once It’S Fixed,No,0.0
lmao YOU’RE MAKING THIS CONVO DANGEROUSLY FUN,Yes,1.0
good thinking 🥲,No,0.0
"thanks for helping earlier, i owe you dinner sometime 😏",Yes,1.0
lowkey You Handled That Well 🤝,No,0.0
you free tonight? just us 😏,Yes,1.0
tbh i’m fine 😌 just thinking about you a bit 😏,Yes,1.0
highkey let me know once it’s fixed 🙃,No,0.0
did you finish the report? also i kinda miss talking to you 🥲,Yes,1.0
I’M Trying To Be Chill But You’Re Making It Hard,Yes,1.0
we should hang sometime… just saying,Yes,1.0
You’Re Easy To Work With??,No,0.0
i like your perspective on this,No,0.0
dinner? 1 on 1,Yes,1.0
THIS IS RANDOM BUT I’M HAPPY WE’RE TALKING,Yes,1.0
sooo i keep thinking about you lol,Yes,1.0
did you finish the report? also i kinda miss talking to you ✅,Yes,1.0
did you finish the report? also i kinda miss talking to you,Yes,1.0
let me know once it’s fixed ✨,No,0.0
You’Re A Good Teammate,No,0.0
lowkey You’Re Really Reliable,No,0.0
send me the file later pls… btw you looked really good today 😌,Yes,1.0
Please Confirm The Address ... 🥲,No,0.0
can you review this PR when you get a chance?,No,0.0
let me know once it’s fixed,No,0.0
please submit the form by friday...,No,0.0
appreciate you helping out 😌,No,0.0
did you pay the bill yet?,No,0.0
why you so cute tho ?? 🙏,Yes,1.0
Did You Finish The Report? Also I Kinda Miss Talking To You 👍,Yes,1.0
lmao Thanks For The Update ✅,No,0.0
stop being so attractive 🙂,Yes,1.0
thanks for jumping on that quickly... 😅,No,0.0
you handled that well,No,0.0
did you pay the bill yet? 😌,No,0.0
what time is the meeting tomorrow? lowkey wanna grab coffee w you after??,Yes,1.0
YOU FREE TONIGHT? JUST US 😏 ?!,Yes,1.0
are you available for a quick call?,No,0.0
highkey i’m trying to focus but you’re distracting me.. 😏,Yes,1.0
did you pay the bill yet?!,No,0.0
lmao what’s your ETA? 💀,No,0.0
lol Thanks For Jumping On That Quickly,No,0.0
i didn’t expect to enjoy this convo so much,Yes,1.0
ok serious question… when are we hanging out just us,Yes,1.0
bruh I Should Sleep But I Wanna Keep Talking To You,Yes,1.0
THANKS FOR JUMPING ON THAT QUICKLY,No,0.0
i feel really comfortable with you,Yes,1.0
NICE WORK ON THE PRESENTATION ✅,No,0.0
don’t make me laugh in public..,No,0.0
YOU’RE REALLY RELIABLE,No,0.0
"bruh I’M NOT FLIRTING, I’M JUST BEING NICE?!",No,0.0
"i’m trying to be chill, work’s stressing me out .. ✅",No,0.0
movie night? just you + me 😌,Yes,1.0
highkey if you were here i’d be happier,Yes,1.0
lmao i keep thinking about you lol 🥲,Yes,1.0
appreciate you helping out,No,0.0
great job today,No,0.0
if you were here you could help me move furniture?! 🥲,No,0.0
i like your perspective on this,No,0.0
i keep thinking about you lol,Yes,1.0
bruh dinner? 1 on 1 👍,Yes,1.0
let me know once it’s fixed 🥲,No,0.0
DINNER? 1 ON 1,Yes,1.0
don’t make me laugh in public,No,0.0
let me know once it’s fixed 👍,No,0.0
fr thanks for the update,No,0.0
send me the file later pls… btw you looked really good today,Yes,1.0
THIS IS RANDOM BUT I’M HAPPY WE’RE TALKING!,Yes,1.0
can you send me the slides later?,No,0.0
I’M GLAD WE TALK LIKE THIS ?!,Yes,1.0
sooo good thinking,No,0.0
bruh you handled that well ?! 😂,No,0.0
tbh i’ll loop you into the email 💀,No,0.0
tbh that’s a solid point ✅,No,0.0
please confirm the address !,No,0.0
Your Feedback Was Really Helpful??,No,0.0
omg You’Re Really Reliable,No,0.0
lol STOPPP THAT’S HILARIOUS ✅,No,0.0
"i like you. like, like you ...",Yes,1.0
WHY YOU SO CUTE THO 👍,Yes,1.0
great job today...,No,0.0
YOU’RE REALLY RELIABLE,No,0.0
sooo Please Confirm The Address..,No,0.0
fr What’S Your Eta? 💀,No,0.0
did you finish the report? also i kinda miss talking to you ✅,Yes,1.0
please confirm the address 🙃,No,0.0
bruh Appreciate You Helping Out!,No,0.0
i’m not flirting… but 😏,Yes,1.0
"THANKS FOR HELPING EARLIER, I OWE YOU DINNER SOMETIME 😏 😏",Yes,1.0
lowkey come over if you want 👀 ...,Yes,1.0
you always message at the right time,Yes,1.0
you’re kinda becoming my favourite notification,Yes,1.0
can you send me the slides later?,No,0.0
lol what time is the meeting tomorrow? lowkey wanna grab coffee w you after 😭,Yes,1.0
lmao i like your perspective on this,No,0.0
CAN YOU SEND ME THE SLIDES LATER?,No,0.0
i keep thinking about you lol?!,Yes,1.0
please submit the form by friday 😂,No,0.0
i’m glad we talk like this ✨,Yes,1.0
"i like you. like, like you",Yes,1.0
WE SHOULD HANG SOMETIME WITH EVERYONE 👍,No,0.0
lowkey it’s nice talking to you 🙏,Yes,1.0
I Like Your Perspective On This,No,0.0
bruh i should sleep but i wanna keep talking to you,Yes,1.0
lowkey thanks for jumping on that quickly,No,0.0
you make my day feel lighter,Yes,1.0
lol great job today ?? 👀,No,0.0
kinda I KEEP THINKING ABOUT YOU LOL,Yes,1.0
if you were here i’d be happier 🥲,Yes,1.0
highkey you free tonight? just us 😏,Yes,1.0
did you pay the bill yet???,No,0.0
that made my day (thanks for helping),No,0.0
bet you free tonight? just us 😏,Yes,1.0
"ngl I’M Trying To Be Chill, Work’S Stressing Me Out ✅",No,0.0
YOU HANDLED THAT WELL,No,0.0
that’s a solid point ! ✅,No,0.0
bet dinner? 1 on 1,Yes,1.0
can you review this PR when you get a chance?! 🙂,No,0.0
let me know once it’s fixed,No,0.0
if you were here you could help me move furniture 🙂,No,0.0
ngl i miss you 😭,Yes,1.0
can you review this PR when you get a chance?..,No,0.0
STOP BEING SO ATTRACTIVE,Yes,1.0
why you so cute tho 😂,Yes,1.0
lol don’t make me laugh in public 🙏,No,0.0
omg You Explain Things Clearly,No,0.0
why you so cute tho 🤝,Yes,1.0
thanks for the update ?!,No,0.0
bet good thinking,No,0.0
lowkey don’t make me laugh in public... 😭,No,0.0
if you were here you could help me move furniture,No,0.0
bruh i’m glad we talk like this 👀,Yes,1.0
you’re trouble 😅! 🙃,Yes,1.0
What’S Your Eta???,No,0.0
bet appreciate you helping out,No,0.0
I’Ll Loop You Into The Email 👀,No,0.0
you’re really reliable...,No,0.0
PLEASE CONFIRM THE ADDRESS! 😌,No,0.0
i wish you were here rn 🙃,Yes,1.0
sooo GOOD THINKING 👀,No,0.0
YOU FREE TONIGHT? JUST US 😏?! ✨,Yes,1.0
you’re really reliable,No,0.0
you’re easy to work with ..,No,0.0
this is random but i’m happy we’re talking,Yes,1.0
I WISH YOU WERE HERE RN ✅,Yes,1.0
highkey good thinking,No,0.0
"I’M Not Flirting, I’M Just Being Nice",No,0.0
ngl i feel really comfortable with you 👍,Yes,1.0
Are You Available For A Quick Call?..,No,0.0
you explain things clearly...,No,0.0
You’Re Different In A Good Way ✅,Yes,1.0
bet your feedback was really helpful,No,0.0
idk Stoppp You’Re Making Me Smile 👀,Yes,1.0
we should hang sometime with everyone 💀,No,0.0
tbh it’s nice talking to you,Yes,1.0
please submit the form by friday 🤝,No,0.0
ngl i miss you,Yes,1.0
ngl i miss you,Yes,1.0
did you pay the bill yet?..,No,0.0
What’S Your Eta?...,No,0.0
I Didn’T Expect To Enjoy This Convo So Much,Yes,1.0
You’Re Different In A Good Way 🥲,Yes,1.0
what’s your ETA? 🙃,No,0.0
bet we should hang sometime with everyone,No,0.0
I’M Trying To Focus But You’Re Distracting Me,Yes,1.0
i like our talks ✨,Yes,1.0
i didn’t expect to enjoy this convo so much ?! 💀,Yes,1.0
nah ok you’re kinda cute but whatever,Yes,1.0
if you were here you could help me move furniture 🙏,No,0.0
i wish you were here rn 😂,Yes,1.0
kinda did you finish the report? also i kinda miss talking to you ✅,Yes,1.0
let me know once it’s fixed... 🙃,No,0.0
fr you’re kinda becoming my favourite notification??,Yes,1.0
i’ll loop you into the email 😏,No,0.0
Did You Pay The Bill Yet?,No,0.0
highkey dinner? 1 on 1,Yes,1.0
You Explain Things Clearly,No,0.0
you’re kinda becoming my favourite notification 😂,Yes,1.0
can you send me the slides later? ✨,No,0.0
i’m trying to focus but you’re distracting me,No,0.0
what’s your ETA? 😭,No,0.0
"bet thanks for helping earlier, i owe you dinner sometime 😏",Yes,1.0
i like your perspective on this 🙃,No,0.0
Dinner? 1 On 1 🥲,Yes,1.0
kinda please confirm the address 😅,No,0.0
i keep thinking about you lol 🥲,Yes,1.0
nice work on the presentation,No,0.0
you’re funny lol ?? 🤝,No,0.0
YOU’RE MAKING THIS CONVO DANGEROUSLY FUN,Yes,1.0
nah Can You Send Me The Slides Later? 😂,No,0.0
thanks for the update?? 😂,No,0.0
lol that made my day (thanks for helping),No,0.0
kinda please submit the form by friday,No,0.0
i’m glad we talk like this,Yes,1.0
"lol i like you. like, like you 😭",Yes,1.0
bruh you explain things clearly,No,0.0
We Should Hang Sometime… Just Saying ✨,Yes,1.0
you’re easy to work with,No,0.0
lowkey i’m fine 😌 just thinking about you a bit,Yes,1.0
"i’m trying to be chill, work’s stressing me out",No,0.0
let me know once it’s fixed 😂,No,0.0
come over if you want 👀 💀,Yes,1.0
I Wish You Were Here Rn 😭,Yes,1.0
omg it’s nice talking to you 🙂,Yes,1.0
"idk thanks for helping earlier, i owe you dinner sometime 😏 😂",Yes,1.0
I Like Your Perspective On This 🥲,No,0.0
ngl appreciate you helping out,No,0.0
what’s your ETA? 🥲,No,0.0
please submit the form by friday,No,0.0
you free tonight? just us 😏?? 😌,Yes,1.0
i keep thinking about you lol?! ✨,Yes,1.0
ngl I’M TRYING TO FOCUS BUT YOU’RE DISTRACTING ME,Yes,1.0
come over if you want 👀 😏,Yes,1.0
ngl Nice Work On The Presentation 😭,No,0.0
ok serious question… when are we hanging out just us 💀,Yes,1.0
did you pay the bill yet? ! 😭,No,0.0
lmao THAT’S A SOLID POINT 🤝,No,0.0
THAT’S A SOLID POINT,No,0.0
I’M Trying To Focus But You’Re Distracting Me,Yes,1.0
THAT MADE MY DAY (THANKS FOR HELPING) ! 👍,No,0.0
Send Me The File Later Pls… Btw You Looked Really Good Today,Yes,1.0
Thanks For The Update 😭,No,0.0
highkey i should sleep but i wanna keep talking to you 👍,Yes,1.0
sooo stop being so attractive 🙃,Yes,1.0
can you review this PR when you get a chance? 🙏,No,0.0
busy tonight but if you’re free i can make time 💀,Yes,1.0
this is random but i’m happy we’re talking .. 😅,Yes,1.0
Great Job Today 😅,No,0.0
thanks for the update 🙃,No,0.0
I Like Our Talks,Yes,1.0
ngl i miss you,Yes,1.0
come over if you want 👀,Yes,1.0
What Time Is The Meeting Tomorrow? 😅,No,0.0
what time is the meeting tomorrow? lowkey wanna grab coffee w you after,Yes,1.0
lmao you’re funny lol,No,0.0
nice work on the presentation,No,0.0
nah you’re trouble 😅 😅,Yes,1.0
if you were here you could help me move furniture,No,0.0
Did You Finish The Report? Also I Kinda Miss Talking To You ?!,Yes,1.0
bet are you available for a quick call?,No,0.0
good thinking?! 🤝,No,0.0
"good discussion earlier, thanks !",No,0.0
lol thanks for the update ✅,No,0.0
"idk I’M Trying To Be Chill, Work’S Stressing Me Out",No,0.0
Busy Tonight But If You’Re Free I Can Make Time..,Yes,1.0
Appreciate You Helping Out,No,0.0
please submit the form by friday 🥲,No,0.0
tbh I FEEL REALLY COMFORTABLE WITH YOU,Yes,1.0
lmao you free tonight? just us 😏,Yes,1.0
what’s your ETA? 🥲,No,0.0
did you finish the report? also i kinda miss talking to you 😭,Yes,1.0
you’re different in a good way 🙃,Yes,1.0
nah please submit the form by friday 😏,No,0.0
if you were here i’d be happier,Yes,1.0
did you finish the report? also i kinda miss talking to you,Yes,1.0
kinda Did You Pay The Bill Yet?,No,0.0
kinda great job today,No,0.0
what’s the status on the ticket? 😌,No,0.0
fr What Time Is The Meeting Tomorrow? Lowkey Wanna Grab Coffee W You After! 🙃,Yes,1.0
